,Unnamed: 0,Unnamed: 0.1,tags,rgbs,urls,r,g,b
0,2,2,bicycle,111.84023437 105.92248047  86.82118164,https://farm5.staticflickr.com/4835/46005399195_5148e6387c_n.jpg,111.84023437,105.92248047,105.92248047
1,3,3,bicycle,200.58743164 200.45927734 191.80399414,https://farm8.staticflickr.com/7881/31978575517_8de9192080_n.jpg,200.58743164,200.45927734,200.45927734
2,4,4,bicycle,145.53445312 145.35144531 146.75932617,https://farm8.staticflickr.com/7905/31977305757_0d93e6c62d_n.jpg,145.53445312,145.35144531,145.35144531
3,6,6,bicycle,128.501875   112.27194336  93.66396484,https://farm5.staticflickr.com/4830/46000120025_0b878b6216_n.jpg,128.501875,112.27194336,112.27194336
4,12,12,bicycle,111.84023437 105.92248047  86.82118164,https://farm5.staticflickr.com/4835/46005399195_5148e6387c_n.jpg,111.84023437,105.92248047,105.92248047
5,13,13,bicycle,200.58743164 200.45927734 191.80399414,https://farm8.staticflickr.com/7881/31978575517_8de9192080_n.jpg,200.58743164,200.45927734,200.45927734
6,14,14,bicycle,145.53445312 145.35144531 146.75932617,https://farm8.staticflickr.com/7905/31977305757_0d93e6c62d_n.jpg,145.53445312,145.35144531,145.35144531
7,16,16,bicycle,128.501875   112.27194336  93.66396484,https://farm5.staticflickr.com/4830/46000120025_0b878b6216_n.jpg,128.501875,112.27194336,112.27194336
8,20,20,bicycle,109.06554687 121.21014648  91.80425781,https://farm8.staticflickr.com/7818/46910592141_984d6065a2_n.jpg,109.06554687,121.21014648,121.21014648
9,24,24,bicycle,150.12460938 144.46063477 121.06357422,https://farm8.staticflickr.com/7895/46854724942_4819132772_n.jpg,150.12460938,144.46063477,144.46063477
10,25,25,bicycle,141.94522461 135.18769531 138.39009766,https://farm8.staticflickr.com/7883/45991267435_ae86118d8c_n.jpg,141.94522461,135.18769531,135.18769531
11,26,26,bicycle,124.20912801 124.67082259 131.68627577,https://farm8.staticflickr.com/7909/46179698504_7c0de00910_n.jpg,124.20912801,124.67082259,124.67082259
12,27,27,bicycle,119.97184311 143.83838223 161.88357781,https://farm5.staticflickr.com/4842/46179735164_2c547b1f96_n.jpg,119.97184311,143.83838223,143.83838223
13,28,28,bicycle,141.96091667 159.80441667 170.63461458,https://farm8.staticflickr.com/7812/33029298538_a2b3db7ed7_n.jpg,141.96091667,159.80441667,159.80441667
14,29,29,bicycle,133.82378906  98.01470703  87.09405273,https://farm5.staticflickr.com/4824/46178865514_32ca9b28e9_n.jpg,133.82378906,98.01470703,98.01470703
15,30,30,bicycle,108.02322324 120.0472408  121.57994356,https://farm8.staticflickr.com/7810/45987485245_db4e2c6673_n.jpg,108.02322324,120.0472408,120.0472408
16,31,31,bicycle,78.0660608  73.90248724 75.42790179,https://farm8.staticflickr.com/7807/46901421001_657fed04bd_n.jpg,78.0660608,73.90248724,73.90248724
17,32,32,bicycle,203.4331543  204.06852539 206.61125   ,https://farm5.staticflickr.com/4871/31959781257_83ec2ec5d3_n.jpg,203.4331543,204.06852539,204.06852539
18,33,33,bicycle,93.37358398 86.81082031 91.88675781,https://farm5.staticflickr.com/4838/33024625828_607cf8acc4_n.jpg,93.37358398,86.81082031,86.81082031
19,34,34,bicycle,162.91548828 157.40043945 149.60080078,https://farm5.staticflickr.com/4878/31957857507_ea136e8713_n.jpg,162.91548828,157.40043945,157.40043945
20,35,35,bicycle,105.28415039 101.75491211  94.77785156,https://farm8.staticflickr.com/7806/46899290601_9184e2ae63_n.jpg,105.28415039,101.75491211,101.75491211
21,36,36,bicycle,131.27619141 128.700625   111.74319336,https://farm8.staticflickr.com/7804/33021098528_62489b446f_n.jpg,131.27619141,128.700625,128.700625
22,41,41,bicycle,222.81167969 222.40121094 223.45077148,https://farm5.staticflickr.com/4866/46170315414_11ffb52b2b_n.jpg,222.81167969,222.40121094,222.40121094
