,Unnamed: 0,Unnamed: 0.1,tags,rgbs,urls,r,g,b
0,2,2,car, 89.95288086 107.97330078 133.98902344,https://farm5.staticflickr.com/4896/33048717898_4255b6382b_n.jpg,89.95288086,107.97330078,133.98902344
1,3,3,car,70.31540039 70.29773438 70.17874023,https://farm8.staticflickr.com/7867/31983009797_a7175fd792_n.jpg,70.31540039,70.29773438,70.17874023
2,4,4,car,63.80402344 63.80402344 63.80402344,https://farm5.staticflickr.com/4807/31982985267_762913b084_n.jpg,63.80402344,63.80402344,63.80402344
3,5,5,car,189.86760742 190.38689453 190.4265918 ,https://farm5.staticflickr.com/4841/46924042811_0d4efd48a9_n.jpg,189.86760742,190.38689453,190.4265918
4,6,6,car,52.97858542 48.82923197 45.49086991,https://farm5.staticflickr.com/4916/31982937397_42aff3dbef_n.jpg,52.97858542,48.82923197,45.49086991
5,7,7,car,148.45330078 148.45330078 148.45330078,https://farm8.staticflickr.com/7881/31982928357_6e185df926_n.jpg,148.45330078,148.45330078,148.45330078
6,9,9,car,110.04507813 106.0428418  112.52213867,https://farm8.staticflickr.com/7811/46009782805_077c00b9d5_n.jpg,110.04507813,106.0428418,112.52213867
7,10,10,car, 89.95288086 107.97330078 133.98902344,https://farm5.staticflickr.com/4896/33048717898_4255b6382b_n.jpg,89.95288086,107.97330078,133.98902344
8,11,11,car,70.31540039 70.29773438 70.17874023,https://farm8.staticflickr.com/7867/31983009797_a7175fd792_n.jpg,70.31540039,70.29773438,70.17874023
9,12,12,car,63.80402344 63.80402344 63.80402344,https://farm5.staticflickr.com/4807/31982985267_762913b084_n.jpg,63.80402344,63.80402344,63.80402344
10,13,13,car,189.86760742 190.38689453 190.4265918 ,https://farm5.staticflickr.com/4841/46924042811_0d4efd48a9_n.jpg,189.86760742,190.38689453,190.4265918
11,14,14,car,52.97858542 48.82923197 45.49086991,https://farm5.staticflickr.com/4916/31982937397_42aff3dbef_n.jpg,52.97858542,48.82923197,45.49086991
12,15,15,car,148.45330078 148.45330078 148.45330078,https://farm8.staticflickr.com/7881/31982928357_6e185df926_n.jpg,148.45330078,148.45330078,148.45330078
13,17,17,car,26.86232422 26.86232422 26.86232422,https://farm8.staticflickr.com/7882/46009614735_d09d2baa69_n.jpg,26.86232422,26.86232422,26.86232422
14,21,21,car,81.96667994 80.72927946 81.31675955,https://farm5.staticflickr.com/4901/31982749597_709a53343e_n.jpg,81.96667994,80.72927946,81.31675955
15,22,22,car,160.43412109 163.69677734 149.85451172,https://farm8.staticflickr.com/7826/31982700177_cff52fe566_n.jpg,160.43412109,163.69677734,149.85451172
16,23,23,car,148.94123047 148.94123047 148.94123047,https://farm8.staticflickr.com/7885/46198904394_b37674b53d_n.jpg,148.94123047,148.94123047,148.94123047
17,24,24,car,134.96790039 134.96790039 134.96790039,https://farm8.staticflickr.com/7800/46198904224_267e22608d_n.jpg,134.96790039,134.96790039,134.96790039
18,25,25,car,138.09210938 138.09210938 138.09210938,https://farm8.staticflickr.com/7840/46198904114_74c420fecf_n.jpg,138.09210938,138.09210938,138.09210938
19,26,26,car,134.68296875 134.68296875 134.68296875,https://farm5.staticflickr.com/4892/46198903784_ed8784eeaf_n.jpg,134.68296875,134.68296875,134.68296875
20,27,27,car,124.81658203 124.81658203 124.81658203,https://farm5.staticflickr.com/4810/46198903614_6d761df939_n.jpg,124.81658203,124.81658203,124.81658203
21,28,28,car,93.84006836 95.13837891 80.60265625,https://farm5.staticflickr.com/4823/46871623112_d3618c0c1f_n.jpg,93.84006836,95.13837891,80.60265625
22,30,30,car,149.22999023 147.76588867 146.29134766,https://farm8.staticflickr.com/7877/46198772144_f6de361291_n.jpg,149.22999023,147.76588867,146.29134766
23,32,32,car,162.75674805 110.90695313 112.36438477,https://farm5.staticflickr.com/4805/46923606601_a98cb22967_n.jpg,162.75674805,110.90695313,112.36438477
24,34,34,car,96.31866211 94.22729492 80.40318359,https://farm8.staticflickr.com/7897/31982445907_6614774e83_n.jpg,96.31866211,94.22729492,80.40318359
