,Unnamed: 0,Unnamed: 0.1,tags,rgbs,urls,r,g,b
0,0,0,bicycle,116.40609375 116.26054688 116.28738281,https://farm5.staticflickr.com/4826/31984638127_9e886c4965_n.jpg,116.40609375,116.26054688,116.28738281
1,1,1,bicycle,114.63765944 107.17447917  98.92271471,https://farm8.staticflickr.com/7818/46920688061_ca51717c64_n.jpg,114.63765944,107.17447917,98.92271471
2,2,2,bicycle,111.84023437 105.92248047  86.82118164,https://farm5.staticflickr.com/4835/46005399195_5148e6387c_n.jpg,111.84023437,105.92248047,86.82118164
3,3,3,bicycle,200.58743164 200.45927734 191.80399414,https://farm8.staticflickr.com/7881/31978575517_8de9192080_n.jpg,200.58743164,200.45927734,191.80399414
4,4,4,bicycle,145.53445312 145.35144531 146.75932617,https://farm8.staticflickr.com/7905/31977305757_0d93e6c62d_n.jpg,145.53445312,145.35144531,146.75932617
5,5,5,bicycle,108.71571289 102.54237305  90.17518555,https://farm8.staticflickr.com/7924/33041692368_1370669503_n.jpg,108.71571289,102.54237305,90.17518555
6,6,6,bicycle,128.501875   112.27194336  93.66396484,https://farm5.staticflickr.com/4830/46000120025_0b878b6216_n.jpg,128.501875,112.27194336,93.66396484
7,7,7,bicycle,118.37924805 105.31480469  64.9528418 ,https://farm8.staticflickr.com/7817/39949165623_078fdbb5f9_n.jpg,118.37924805,105.31480469,64.9528418
8,8,8,bicycle,119.7697168  145.47618164 164.66180664,https://farm5.staticflickr.com/4901/31971909507_1054d70309_n.jpg,119.7697168,145.47618164,164.66180664
9,9,9,bicycle,49.34966189 46.71840164 45.44625   ,https://farm8.staticflickr.com/7849/39947985303_5faea53534_n.jpg,49.34966189,46.71840164,45.44625
10,10,10,bicycle,116.40609375 116.26054688 116.28738281,https://farm5.staticflickr.com/4826/31984638127_9e886c4965_n.jpg,116.40609375,116.26054688,116.28738281
11,11,11,bicycle,114.63765944 107.17447917  98.92271471,https://farm8.staticflickr.com/7818/46920688061_ca51717c64_n.jpg,114.63765944,107.17447917,98.92271471
12,12,12,bicycle,111.84023437 105.92248047  86.82118164,https://farm5.staticflickr.com/4835/46005399195_5148e6387c_n.jpg,111.84023437,105.92248047,86.82118164
13,13,13,bicycle,200.58743164 200.45927734 191.80399414,https://farm8.staticflickr.com/7881/31978575517_8de9192080_n.jpg,200.58743164,200.45927734,191.80399414
14,14,14,bicycle,145.53445312 145.35144531 146.75932617,https://farm8.staticflickr.com/7905/31977305757_0d93e6c62d_n.jpg,145.53445312,145.35144531,146.75932617
15,15,15,bicycle,108.71571289 102.54237305  90.17518555,https://farm8.staticflickr.com/7924/33041692368_1370669503_n.jpg,108.71571289,102.54237305,90.17518555
16,16,16,bicycle,128.501875   112.27194336  93.66396484,https://farm5.staticflickr.com/4830/46000120025_0b878b6216_n.jpg,128.501875,112.27194336,93.66396484
17,17,17,bicycle,118.37924805 105.31480469  64.9528418 ,https://farm8.staticflickr.com/7817/39949165623_078fdbb5f9_n.jpg,118.37924805,105.31480469,64.9528418
18,18,18,bicycle,119.7697168  145.47618164 164.66180664,https://farm5.staticflickr.com/4901/31971909507_1054d70309_n.jpg,119.7697168,145.47618164,164.66180664
19,19,19,bicycle,49.34966189 46.71840164 45.44625   ,https://farm8.staticflickr.com/7849/39947985303_5faea53534_n.jpg,49.34966189,46.71840164,45.44625
20,20,20,bicycle,109.06554687 121.21014648  91.80425781,https://farm8.staticflickr.com/7818/46910592141_984d6065a2_n.jpg,109.06554687,121.21014648,91.80425781
21,21,21,bicycle,161.00299805 160.4222168  156.00964844,https://farm8.staticflickr.com/7820/46858488072_88dce3f540_n.jpg,161.00299805,160.4222168,156.00964844
22,22,22,bicycle,153.37727539 151.19173828 156.39750977,https://farm8.staticflickr.com/7883/33034539008_ea9be82311_n.jpg,153.37727539,151.19173828,156.39750977
23,23,23,bicycle,127.93045898 127.93045898 127.93045898,https://farm8.staticflickr.com/7909/45992912425_722814809e_n.jpg,127.93045898,127.93045898,127.93045898
24,24,24,bicycle,150.12460938 144.46063477 121.06357422,https://farm8.staticflickr.com/7895/46854724942_4819132772_n.jpg,150.12460938,144.46063477,121.06357422
25,25,25,bicycle,141.94522461 135.18769531 138.39009766,https://farm8.staticflickr.com/7883/45991267435_ae86118d8c_n.jpg,141.94522461,135.18769531,138.39009766
26,26,26,bicycle,124.20912801 124.67082259 131.68627577,https://farm8.staticflickr.com/7909/46179698504_7c0de00910_n.jpg,124.20912801,124.67082259,131.68627577
27,27,27,bicycle,119.97184311 143.83838223 161.88357781,https://farm5.staticflickr.com/4842/46179735164_2c547b1f96_n.jpg,119.97184311,143.83838223,161.88357781
28,28,28,bicycle,141.96091667 159.80441667 170.63461458,https://farm8.staticflickr.com/7812/33029298538_a2b3db7ed7_n.jpg,141.96091667,159.80441667,170.63461458
29,29,29,bicycle,133.82378906  98.01470703  87.09405273,https://farm5.staticflickr.com/4824/46178865514_32ca9b28e9_n.jpg,133.82378906,98.01470703,87.09405273
